名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
安田 コウ,やすだ こう,yasuda_kou@example.com,女,59,1960/9/5,既婚,B型,富山県,16,094-325-3074,090-8126-2009,ドコモ,手前ルー・混ぜ混ぜ派
細川 丈雄,ほそかわ たけお,hosokawa_takeo@example.com,男,12,2007/6/29,未婚,O型,沖縄県,47,026-427-6618,080-1664-1791,au,左ルー・せき止め派
岸本 三郎,きしもと さぶろう,kishimoto_saburou@example.com,男,70,1949/4/15,既婚,A型,千葉県,12,0 1-586-4559,080-6747- 786,ドコモ,左ルー・せき止め派
和泉 晴臣,わいずみ はるおみ,waizumi_haruomi@example.com,男,15,2004/8/14,未婚,O型,千葉県,12,089-499-1783,090-6536-6761,ドコモ,左ルー・せき止め派
坂口 フミヤ,さかぐち ふみや,sakaguchi_fumiya@example.com,男,77,1943/1/16,既婚,O型,東京都,13,057-518-1958,080-7096-4548,ドコモ,左ルー・別口派
島村 めぐみ,しまむら めぐみ,shimamura_megumi@example.com,女,49,1970/11/22,既婚,O型,埼玉県,11,078-449-5516,090-7121-3412,ドコモ,右ルー・別口派
大原 はるか,おおはら はるか,oohara_haruka@example.com,女,28,1991/12/15,未婚,A型,新潟県,15,014-907-9673,090-3976-8537,au,右ルー・せき止め派
細川 恵子,ほそかわ けいこ,hosokawa_keiko@example.com,女,22,1997/4/30,既婚,A型,福岡県,40,022-372-6583,090-2776- 480,ドコモ,ぶっかけ・せき止め派
長井 淳子,ながい あつこ,nagai_atsuko@example.com,女,62,1957/11/27,既婚,O型,広島県,34,063- 52-3737,090-5618-8051,au,左ルー・混ぜ混ぜ派
堤 菊生,つつみ きくお,tsutsumi_kikuo@example.com,男,82,1937/3/7,既婚,O型,北海道,01,036-700-3750,080-2158-7919,ドコモ,手前ルー・別口派
菅谷 怜奈,すがや れいな,sugaya_reina@example.com,女,82,1937/5/14,既婚,B型,東京都,13,070-665-2257,090-4669-3306,ドコモ,左ルー・せき止め派
岩永 徹,いわなが とおる,iwanaga_tooru@example.com,男,71,1948/9/3,既婚,A型,兵庫県,28,073-531-9779,080-3938-6986,ドコモ,ぶっかけ・ナン派
田辺 薫,たなべ かおる,tanabe_kaoru@example.com,男,37,1982/11/1,既婚,A型,鹿児島県,46,066- 14-1408,090-6959-7081,ドコモ,手前ルー・別口派
井手 ヒカル,いで ひかる,ide_hikaru@example.com,女,30,1989/4/6,既婚,A型,埼玉県,11,022-346-6783,090-5931-9527,au,奥ルー・別口派
岩沢 真希,いわさわ まき,iwasawa_maki@example.com,女,13,2007/2/1,未婚,B型,鳥取県,31,035-814-6111,090-4322-2511,au,ぶっかけ・混ぜ混ぜ派
窪田 窈,くぼた よう,kubota_you@example.com,女,76,1943/11/2,既婚,O型,山口県,35,094-983-4342,090-1340-3711,ドコモ,ぶっかけ・別口派
寺岡 みき,てらおか みき,teraoka_miki@example.com,女,69,1950/8/5,既婚,O型,福井県,18,086-599-2107,080- 308-4159,ドコモ,ぶっかけ・せき止め派
宮脇 染五郎,みやわき そめごろう,miyawaki_somegorou@example.com,男,68,1951/7/7,既婚,O型,大阪府,27,037- 94-9616,080-9295-4726,ソフトバンク,右ルー・混ぜ混ぜ派
倉本 龍吉,くらもと りゅうきち,kuramoto_ryuukichi@example.com,男,27,1993/1/5,既婚,A型,香川県,37,0 1-486-5771,080-1628-6463,ドコモ,手前ルー・混ぜ混ぜ派
水上 だん吉,みずかみ だんきち,mizukami_dankichi@example.com,男,40,1979/9/24,既婚,O型,大阪府,27,028-739-2871,080-1905-6458,ドコモ,ぶっかけ・別口派
大竹 南朋,おおたけ なお,ootake_nao@example.com,女,64,1955/5/31,既婚,AB型,静岡県,22,054-834-4858,090- 958-2980,ドコモ,奥ルー・せき止め派
藤野 秀隆,ふじの ひでたか,fujino_hidetaka@example.com,男,50,1969/5/11,既婚,A型,東京都,13,065-801-1815,090-5879- 479,ソフトバンク,右ルー・せき止め派
細川 真悠子,ほそかわ まゆこ,hosokawa_mayuko@example.com,女,44,1975/4/13,既婚,A型,大阪府,27,025-781-2553,080-3751-7345,ドコモ,ぶっかけ・ルー攻め派
西口 美里,にしぐち みり,nishiguchi_miri@example.com,女,18,2001/3/25,既婚,B型,広島県,34,074-548-8971,090-5042-5551,ドコモ,左ルー・ルー攻め派
福永 朝陽,ふくなが あさひ,fukunaga_asahi@example.com,女,37,1982/7/3,既婚,O型,大阪府,27,089- 57-3090,080-8962-6320,ドコモ,左ルー・せき止め派
板倉 隆之介,いたくら りゅうのすけ,itakura_ryuunosuke@example.com,男,57,1962/4/3,既婚,A型,大阪府,27,0 5-942-6005,090- 245-1828,ソフトバンク,左ルー・ルー攻め派
牧 千佳子,まき ちかこ,maki_chikako@example.com,女,77,1942/9/28,既婚,B型,静岡県,22,096-554-6063,080-4442-6948,ドコモ,左ルー・せき止め派
北沢 南朋,きたざわ なお,kitazawa_nao@example.com,女,59,1960/5/27,既婚,AB型,大阪府,27,097- 46-1728,090-6049- 637,au,左ルー・ルー攻め派
篠山 勇介,しのやま ゆうすけ,shinoyama_yuusuke@example.com,男,22,1997/7/22,未婚,A型,長野県,20,034-673-1201,090-5185-9058,ソフトバンク,ぶっかけ・ルー攻め派
有馬 美優,ありま みゅう,arima_myuu@example.com,女,22,1997/9/25,未婚,B型,群馬県,10,019-314-9879,080- 595-1878,ドコモ,左ルー・別口派
横田 ひろみ,よこた ひろみ,yokota_hiromi@example.com,女,78,1941/9/7,既婚,A型,愛知県,23,037-651-9264,090-8222-4740,ドコモ,右ルー・混ぜ混ぜ派
田村 剛基,たむら よしき,tamura_yoshiki@example.com,男,34,1985/11/28,既婚,O型,群馬県,10,060-384- 570,090-6067-6321,ドコモ,ぶっかけ・混ぜ混ぜ派
柳原 景子,やなぎはら けいこ,yanagihara_keiko@example.com,女,71,1948/10/16,既婚,O型,埼玉県,11,036-813-9896,080-8308-5803,ドコモ,ぶっかけ・混ぜ混ぜ派
少路 明日,しょうじ めいび,shouji_meibi@example.com,女,63,1956/9/1,既婚,A型,千葉県,12,021-732-8429,080-4807-9361,au,左ルー・混ぜ混ぜ派
今 明慶,いま あきよし,ima_akiyoshi@example.com,男,21,1998/10/16,未婚,B型,静岡県,22,0 4-696-3717,080-6142-1179,ドコモ,ぶっかけ・ルー攻め派
広田 優,ひろた ゆう,hirota_yuu@example.com,女,61,1958/5/25,既婚,B型,茨城県,08,018-289-6022,090-4381-  82,ドコモ,ぶっかけ・ルー攻め派
沖田 和久,おきた かずひさ,okita_kazuhisa@example.com,男,46,1973/6/17,未婚,O型,京都府,26,058-827-2885,080-1078-7934,ドコモ,左ルー・せき止め派
角 弘也,すみ ひろなり,sumi_hironari@example.com,男,66,1953/8/5,既婚,B型,石川県,17,0 9-741-9808,090-7285-1355,ソフトバンク,別盛り・別口派
山岸 サダヲ,やまぎし さだお,yamagishi_sadawo@example.com,男,84,1935/8/18,既婚,AB型,三重県,24,068- 73-1420,080-7079-5035,au,左ルー・ルー攻め派
成海 雅之,なるみ まさゆき,narumi_masayuki@example.com,男,28,1991/12/4,未婚,A型,高知県,39,065-460-7158,080-9113-4743,ドコモ,ぶっかけ・ナン派
早川 由宇,はやかわ ゆう,hayakawa_yuu@example.com,女,48,1972/1/7,既婚,A型,群馬県,10,084-356- 982,090-2959-3618,ドコモ,左ルー・せき止め派
戸田 コウ,とだ こう,toda_kou@example.com,女,77,1942/8/15,既婚,O型,東京都,13,0  -681-4844,080-5545-7720,ドコモ,ぶっかけ・混ぜ混ぜ派
中井 貴嶺,なかい たかね,nakai_takane@example.com,男,61,1958/8/13,既婚,O型,愛知県,23,064-405-6349,090-5088-5382,ドコモ,ぶっかけ・混ぜ混ぜ派
鳥居 あい,とりい あい,torii_ai@example.com,女,73,1946/3/18,既婚,A型,東京都,13,052-835- 636,090-7654- 251,ドコモ,奥ルー・せき止め派
平尾 瑠璃亜,ひらお るりあ,hirao_ruria@example.com,女,46,1973/4/13,既婚,A型,兵庫県,28,021-190-2046,090-9926-2503,au,左ルー・混ぜ混ぜ派
栗山 徹,くりやま とおる,kuriyama_tooru@example.com,男,81,1938/11/22,既婚,A型,島根県,32,019-433-3528,090-3564-8431,ドコモ,右ルー・せき止め派
沢村 浩正,さわむら ひろまさ,sawamura_hiromasa@example.com,男,12,2007/10/2,未婚,O型,神奈川県,14,071-603-3928,090-2888-5795,ドコモ,左ルー・別口派
風間 賢治,かざま けんじ,kazama_kenji@example.com,男,60,1959/11/30,既婚,B型,埼玉県,11,059-828-9240,090-8769-2302,au,左ルー・せき止め派
都築 雅彦,つづき まさひこ,tsuduki_masahiko@example.com,男,58,1961/12/7,既婚,O型,東京都,13,086-852-2347,080-9990- 447,ツーカー,左ルー・せき止め派
鎌田 優,かまた ゆう,kamata_yuu@example.com,女,81,1938/8/13,既婚,A型,岐阜県,21,0 4-225-8257,080-8203-9496,au,左ルー・せき止め派
宮脇 仁,みやわき じん,miyawaki_jin@example.com,男,35,1984/10/3,既婚,AB型,北海道,01,053-448-1117,090-3719-9262,ソフトバンク,別盛り・別口派
宮原 美佳,みやはら みか,miyahara_mika@example.com,女,80,1939/11/14,既婚,O型,栃木県,09,052-242- 512,080-6188-8889,au,左ルー・混ぜ混ぜ派
岩淵 友香,いわぶち ともか,iwabuchi_tomoka@example.com,女,36,1983/6/24,既婚,A型,千葉県,12,058-957-8109,080-5857-8885,ソフトバンク,ぶっかけ・別口派
西川 和之,にしかわ かずゆき,nishikawa_kazuyuki@example.com,男,29,1990/4/27,既婚,A型,埼玉県,11,095-465-1520,090-3336-9436,au,ぶっかけ・ナン派
米沢 ヒロ,よねざわ ひろ,yonezawa_hiro@example.com,男,52,1967/7/14,既婚,O型,兵庫県,28,032-747-5675,090-6342- 876,ドコモ,左ルー・混ぜ混ぜ派
河村 あや子,かわむら あやこ,kawamura_ayako@example.com,女,57,1962/5/11,既婚,AB型,兵庫県,28,070-505-2630,080-5481-4102,ドコモ,ぶっかけ・せき止め派
長浜 聖陽,ながはま まさあき,nagahama_masaaki@example.com,男,80,1939/3/10,既婚,O型,神奈川県,14,0 2-905-3791,090-8871-3474,ドコモ,左ルー・せき止め派
古山 コウ,ふるやま こう,furuyama_kou1@example.com,女,34,1985/3/10,既婚,O型,兵庫県,28,026-302-8141,080-7374-8375,ソフトバンク,ぶっかけ・ルー攻め派
横井 佑,よこい たすく,yokoi_tasuku@example.com,男,51,1968/12/31,既婚,B型,愛知県,23,096- 62-6362,080-8279-2144,ソフトバンク,ぶっかけ・ナン派
ほしの 陽子,ほしの ようこ,hoshino_youko@example.com,女,59,1960/3/25,既婚,O型,福井県,18,034-831-4885,090-5789-2179,au,右ルー・ナン派
大和田 鉄二,おおわだ てつじ,oowada_tetsuji@example.com,男,77,1942/9/26,既婚,A型,石川県,17,093-351-5119,090-2097-1550,ドコモ,右ルー・ナン派
内田 陽子,うちだ ようこ,uchida_youko@example.com,女,49,1970/5/1,既婚,B型,神奈川県,14,0 4-817-8955,080-5512- 406,ドコモ,手前ルー・ルー攻め派
佐久間 恵梨香,さくま えりか,sakuma_erika@example.com,女,39,1980/12/26,未婚,A型,青森県,02,096- 76-8987,080-1059-5861,au,左ルー・別口派
長島 奈々,ながしま なな,nagashima_nana@example.com,女,76,1943/12/30,既婚,A型,愛知県,23,062-119-2266,080-8747-3252,ドコモ,左ルー・せき止め派
徳田 憲史,とくた のりひと,tokuta_norihito@example.com,男,79,1940/11/28,既婚,B型,京都府,26,0 6-664-1499,090-5230-2071,ドコモ,左ルー・混ぜ混ぜ派
山上 達士,やまがみ たつひと,yamagami_tatsuhito@example.com,男,67,1952/5/31,既婚,A型,群馬県,10,027-212-3597,090-1027-6814,au,左ルー・別口派
川井 たまき,かわい たまき,kawai_tamaki@example.com,女,22,1997/9/24,未婚,A型,愛知県,23,0 9-197-7493,080-3522-6131,ソフトバンク,ぶっかけ・せき止め派
城田 玲那,しろた れな,shirota_rena@example.com,女,32,1987/7/8,既婚,O型,東京都,13,088-184-6621,090-4063-6412,ドコモ,手前ルー・せき止め派
大滝 愛菜,おおたき あいな,ootaki_aina@example.com,女,47,1972/4/25,既婚,B型,大阪府,27,089-979- 998,080-1483-3079,au,ぶっかけ・せき止め派
安永 育子,やすなが いくこ,yasunaga_ikuko@example.com,女,29,1990/3/24,既婚,O型,宮城県,04,0 4-311-6209,080-6248- 612,au,ぶっかけ・せき止め派
吉岡 光洋,よしおか みつひろ,yoshioka_mitsuhiro@example.com,男,32,1988/1/14,未婚,B型,宮城県,04,025-332-7497,090-8427- 877,ソフトバンク,左ルー・混ぜ混ぜ派
佐野 光,さの ひかる,sano_hikaru@example.com,女,15,2005/1/1,未婚,A型,島根県,32,086-436-2915,080-4442- 308,ドコモ,左ルー・別口派
大塚 まなみ,おおつか まなみ,ootsuka_manami@example.com,女,85,1934/9/12,既婚,O型,京都府,26,017-576-5910,090-2011-3857,au,奥ルー・ナン派
山中 瞬,やまなか しゅん,yamanaka_shun@example.com,男,52,1967/10/28,既婚,A型,長野県,20,087- 88-5637,080-5197-9151,ドコモ,別盛り・せき止め派
根岸 美佐,ねぎし みさ,negishi_misa1@example.com,女,65,1954/2/26,既婚,B型,愛知県,23,011-992-8492,080-6918-7916,ドコモ,左ルー・ルー攻め派
小堀 幸子,こほり さちこ,kohori_sachiko@example.com,女,40,1979/3/26,既婚,A型,大阪府,27,044-305-6257,080-8762-7786,ソフトバンク,右ルー・別口派
尾崎 菜々美,おざき ななみ,ozaki_nanami@example.com,女,24,1995/11/9,既婚,O型,新潟県,15,062-638-2618,080-8709-3922,ドコモ,左ルー・ルー攻め派
上野 砂羽,うえの さわ,ueno_sawa@example.com,女,72,1947/5/15,既婚,O型,岡山県,33,024-866-3998,090-6413-1836,ドコモ,右ルー・ルー攻め派
堤 はるみ,つつみ はるみ,tsutsumi_harumi@example.com,女,55,1965/1/17,既婚,A型,埼玉県,11,042-423-3393,080- 793-3513,ドコモ,手前ルー・ルー攻め派
森山 あおい,もりやま あおい,moriyama_aoi@example.com,女,39,1980/10/4,既婚,AB型,岡山県,33,050-736-9895,080-7982-9058,ソフトバンク,左ルー・せき止め派
足立 芽以,あだち めい,adachi_mei@example.com,女,55,1964/6/15,既婚,O型,大阪府,27,034-587-3175,080-1994-1302,ドコモ,ぶっかけ・混ぜ混ぜ派
ほしの さゆり,ほしの さゆり,hoshino_sayuri@example.com,女,26,1994/1/22,既婚,B型,鳥取県,31,056-500-7072,080-6939-9480,au,左ルー・せき止め派
森脇 さとみ,もりわき さとみ,moriwaki_satomi@example.com,女,38,1981/8/3,既婚,O型,北海道,01,0 6-114-2134,090-5114-9648,ソフトバンク,右ルー・混ぜ混ぜ派
仲村 俊二,なかむら しゅんじ,nakamura_shunji@example.com,男,57,1963/1/11,既婚,A型,岡山県,33,012-372-3419,090-1587-9122,ドコモ,ぶっかけ・せき止め派
田村 桃子,たむら ももこ,tamura_momoko@example.com,女,13,2006/9/29,未婚,A型,埼玉県,11,0 6-497- 146,090-8580-4404,ドコモ,右ルー・せき止め派
志田 サンタマリア,しだ さんたまりあ,shida_stmaria@example.com,男,61,1958/4/23,既婚,O型,兵庫県,28,0 7-129-1474,080-1007-3898,au,左ルー・混ぜ混ぜ派
水島 ちえみ,みずしま ちえみ,mizushima_chiemi@example.com,女,56,1963/5/27,既婚,A型,北海道,01,064-317-3035,080-2216-2776,ドコモ,手前ルー・ルー攻め派
根本 ヒロ,ねもと ひろ,nemoto_hiro@example.com,男,51,1968/3/5,既婚,O型,兵庫県,28,091-841-4252,090-6406-5019,au,手前ルー・ルー攻め派
上田 誠治,うえだ せいじ,ueda_seiji@example.com,男,68,1951/3/3,既婚,A型,栃木県,09,073-573- 756,080-1359-6761,ドコモ,左ルー・ルー攻め派
牧田 陽子,まきた ようこ,makita_youko@example.com,女,10,2010/1/9,未婚,A型,京都府,26,084-484-6101,090-9429-4106,au,ぶっかけ・別口派
河原 勝久,かわはら かつひさ,kawahara_katsuhisa@example.com,男,26,1993/5/23,未婚,A型,東京都,13,039-658-8947,090-1570-9520,ドコモ,奥ルー・混ぜ混ぜ派
布川 奈央,ふかわ なお,fukawa_nao@example.com,女,81,1938/10/31,既婚,AB型,北海道,01,014-815- 335,080-4337-8788,ソフトバンク,右ルー・混ぜ混ぜ派
白井 涼,しらい りょう,shirai_ryou@example.com,女,10,2009/5/12,未婚,O型,神奈川県,14,011-607-1480,080-1690-2231,ドコモ,奥ルー・せき止め派
広川 美希,ひろかわ みき,hirokawa_miki@example.com,女,12,2007/8/7,未婚,B型,大阪府,27,092-838-5270,080-6389-4995,au,手前ルー・混ぜ混ぜ派
渡部 礼子,わたべ れいこ,watabe_reiko1@example.com,女,15,2004/7/24,未婚,B型,福島県,07,011-139-8335,080-9802-9886,ドコモ,左ルー・ルー攻め派
高谷 さゆり,たかや さゆり,takaya_sayuri@example.com,女,12,2007/12/31,未婚,AB型,兵庫県,28,083-543-2188,090- 418-3437,ドコモ,ぶっかけ・別口派
外山 雅彦,そとやま まさひこ,sotoyama_masahiko@example.com,男,38,1981/9/17,既婚,B型,静岡県,22,079-109-2680,090-4985- 563,ドコモ,ぶっかけ・せき止め派
松島 ヒカル,まつしま ひかる,matsushima_hikaru@example.com,女,78,1941/2/23,既婚,A型,沖縄県,47,022-382-3875,080-8035-6658,ドコモ,左ルー・せき止め派
石垣 徹,いしがき とおる,ishigaki_tooru@example.com,男,30,1989/2/26,既婚,B型,愛知県,23,037- 36-7204,090-8147-4600,au,左ルー・ナン派
井原 さとみ,いはら さとみ,ihara_satomi@example.com,女,56,1963/5/7,既婚,B型,大阪府,27,075-685-3317,090-9214-3937,ドコモ,左ルー・ルー攻め派
福地 扶樹,ふくち もとき,fukuchi_motoki@example.com,男,71,1948/10/11,既婚,A型,山口県,35,035-626-2716,090-6342-3804,ドコモ,左ルー・せき止め派
宮下 さやか,みやした さやか,miyashita_sayaka@example.com,女,15,2004/5/28,未婚,A型,長崎県,42,038-387-8714,080-4335-6434,ドコモ,手前ルー・せき止め派
細野 恵梨香,ほその えりか,hosono_erika@example.com,女,36,1983/11/27,既婚,O型,兵庫県,28,017-182-9947,080-5166-3033,ドコモ,左ルー・別口派
坂本 友以乃,さかもと ゆいの,sakamoto_yuino@example.com,女,16,2003/12/24,未婚,O型,北海道,01,010- 70-7947,080-1907-9269,ソフトバンク,右ルー・ルー攻め派
関根 恵麻,せきね えま,sekine_ema@example.com,女,30,1989/5/18,未婚,O型,新潟県,15,0 3-445-7817,080- 539-2648,ドコモ,左ルー・混ぜ混ぜ派
品川 明,しながわ あきら,shinagawa_akira@example.com,男,22,1997/7/21,既婚,A型,大阪府,27,021-191-7085,080- 112-  94,ドコモ,左ルー・ルー攻め派
大路 晋也,おおじ しんや,ooji_shinya@example.com,男,58,1961/9/19,既婚,B型,秋田県,05,055-666-3853,080-5208-1816,ドコモ,左ルー・せき止め派
福田 杏,ふくだ あん,fukuda_ann@example.com,女,30,1989/2/21,未婚,O型,広島県,34,080-170-8296,080-1660-7251,ドコモ,左ルー・混ぜ混ぜ派
大沼 祐基,おおぬま ゆうき,oonuma_yuuki@example.com,男,44,1975/8/15,既婚,A型,大分県,44,031-455-3621,080-3297-6746,ソフトバンク,手前ルー・別口派
